accelerometerX,accelerometerY,accelerometerZ,gyroX,gyroY,gyroZ,date,time
2.91,-1.62,9.15,-0.00,0.00,-0.00,2025-2-5,8:17:15
2.95,-1.57,9.13,-0.00,-0.00,0.00,2025-2-5,8:17:15
2.91,-1.60,9.17,0.00,0.00,-0.00,2025-2-5,8:17:15
2.96,-1.60,9.10,0.00,-0.00,-0.00,2025-2-5,8:17:15
2.87,-1.57,9.02,-0.00,-0.00,-0.00,2025-2-5,8:17:16
2.87,-1.55,9.23,-0.00,0.00,0.00,2025-2-5,8:17:16
2.96,-1.60,9.12,-0.00,-0.00,-0.00,2025-2-5,8:17:16
2.89,-1.55,9.12,-0.00,-0.00,0.00,2025-2-5,8:17:16
2.91,-1.60,9.08,-0.00,0.00,-0.00,2025-2-5,8:17:16
2.83,-1.66,9.15,0.00,-0.00,-0.00,2025-2-5,8:17:16
2.96,-1.64,9.08,-0.00,-0.00,-0.00,2025-2-5,8:17:16
2.87,-1.66,9.06,0.00,0.00,-0.00,2025-2-5,8:17:16
2.98,-1.57,9.08,0.00,-0.00,-0.00,2025-2-5,8:17:16
2.81,-1.60,9.08,-0.00,0.00,-0.00,2025-2-5,8:17:16
2.87,-1.66,9.04,-0.00,-0.01,-0.00,2025-2-5,8:17:16
2.91,-1.62,9.21,-0.01,0.00,-0.00,2025-2-5,8:17:16
2.85,-1.66,9.19,-0.00,-0.00,-0.00,2025-2-5,8:17:16
2.87,-1.62,9.13,-0.00,0.00,-0.00,2025-2-5,8:17:16
2.87,-1.66,9.00,0.00,-0.00,-0.00,2025-2-5,8:17:16
2.93,-1.60,9.04,-0.00,0.00,-0.00,2025-2-5,8:17:16
2.87,-1.62,9.08,-0.00,-0.00,-0.00,2025-2-5,8:17:16
2.91,-1.60,9.08,-0.00,0.00,-0.00,2025-2-5,8:17:16
2.85,-1.72,9.06,0.00,-0.00,0.00,2025-2-5,8:17:16
2.98,-1.57,9.06,-0.00,0.00,-0.00,2025-2-5,8:17:16
2.95,-1.59,9.08,-0.00,0.00,0.00,2025-2-5,8:17:16
3.02,-1.62,9.12,0.00,-0.00,-0.00,2025-2-5,8:17:16
2.89,-1.64,9.10,-0.00,-0.00,-0.00,2025-2-5,8:17:16
