Timestamp;EngineTemp;BatteryVoltage;VGear;RPM
3/2/2025 5:41;433;1047;0;10
3/2/2025 5:41;433;983;0;10
3/2/2025 5:41;433;983;0;10
3/2/2025 5:41;433;982;0;10
3/2/2025 5:41;433;982;0;10
3/2/2025 5:41;433;981;0;10
3/2/2025 5:41;433;981;0;10
3/2/2025 5:41;433;981;0;10
3/2/2025 5:41;433;980;0;10
3/2/2025 5:41;433;978;0;10
3/2/2025 5:41;433;978;0;10
3/2/2025 5:41;433;978;0;10
3/2/2025 5:41;433;978;0;10
3/2/2025 5:41;433;976;0;10
3/2/2025 5:41;433;976;0;10
3/2/2025 5:41;433;976;0;10
3/2/2025 5:41;433;976;0;10
3/2/2025 5:41;433;975;0;10
3/2/2025 5:41;433;974;0;10
3/2/2025 5:41;433;974;0;10
3/2/2025 5:41;433;973;0;10
3/2/2025 5:41;433;972;0;10
3/2/2025 5:41;433;972;0;10
3/2/2025 5:41;433;971;0;10
3/2/2025 5:41;433;971;0;10
3/2/2025 5:41;433;971;0;10
3/2/2025 5:41;433;971;0;10
3/2/2025 5:41;433;971;0;10
3/2/2025 5:41;433;969;0;10
3/2/2025 5:41;433;969;0;10
3/2/2025 5:41;433;968;0;10
3/2/2025 5:41;433;967;0;10
3/2/2025 5:41;433;967;0;10
3/2/2025 5:41;433;966;0;10
3/2/2025 5:41;433;965;0;10
3/2/2025 5:41;433;965;0;10
3/2/2025 5:41;433;964;0;10
3/2/2025 5:41;433;964;0;10
3/2/2025 5:41;433;963;0;10
3/2/2025 5:41;433;962;0;10
3/2/2025 5:41;433;962;0;10
3/2/2025 5:41;432;962;0;10
3/2/2025 5:41;432;961;0;10
3/2/2025 5:41;432;961;0;10
3/2/2025 5:41;432;960;0;10
3/2/2025 5:41;432;960;0;10
3/2/2025 5:41;432;959;0;10
3/2/2025 5:41;432;959;0;10
3/2/2025 5:41;432;958;0;10
3/2/2025 5:41;432;958;0;10
3/2/2025 5:41;432;958;0;10
3/2/2025 5:41;432;958;0;10
3/2/2025 5:41;432;958;0;10
3/2/2025 5:41;432;957;0;10
3/2/2025 5:41;432;957;0;10
3/2/2025 5:41;432;956;0;10
3/2/2025 5:41;432;956;0;10
3/2/2025 5:41;432;955;0;10
3/2/2025 5:41;432;954;0;10
3/2/2025 5:41;432;954;0;10
3/2/2025 5:41;432;954;0;10
3/2/2025 5:41;432;954;0;10
3/2/2025 5:41;432;954;0;10
3/2/2025 5:41;432;954;0;10
3/2/2025 5:41;431;953;0;10
3/2/2025 5:41;431;952;0;10
3/2/2025 5:41;431;952;0;10
3/2/2025 5:41;431;951;0;10
3/2/2025 5:41;431;951;0;10
3/2/2025 5:41;430;949;0;10
3/2/2025 5:41;430;948;0;10
3/2/2025 5:41;430;947;0;10
3/2/2025 5:41;430;947;0;10
3/2/2025 5:41;430;947;0;10
3/2/2025 5:41;429;946;0;10
3/2/2025 5:41;429;946;0;10
3/2/2025 5:41;429;946;0;10
3/2/2025 5:41;428;946;0;10
3/2/2025 5:41;428;946;0;10
3/2/2025 5:41;428;945;0;10
3/2/2025 5:41;428;945;0;10
3/2/2025 5:41;427;944;0;10
3/2/2025 5:41;427;944;0;10
3/2/2025 5:41;427;942;0;10
3/2/2025 5:41;427;942;0;10
3/2/2025 5:41;426;941;0;10
3/2/2025 5:41;426;941;0;10
3/2/2025 5:41;426;941;0;10
3/2/2025 5:41;425;940;0;10
3/2/2025 5:41;425;940;0;10
3/2/2025 5:41;424;939;0;10
3/2/2025 5:41;424;939;0;10
3/2/2025 5:41;424;938;0;10
3/2/2025 5:41;423;937;0;10
3/2/2025 5:41;423;937;0;10
3/2/2025 5:41;423;937;0;10
3/2/2025 5:41;423;936;0;10
3/2/2025 5:41;422;936;0;10
3/2/2025 5:41;422;935;0;10
3/2/2025 5:41;421;935;0;10
3/2/2025 5:41;421;934;0;10
3/2/2025 5:41;420;934;0;10
3/2/2025 5:41;420;934;0;10
3/2/2025 5:41;420;933;0;10
3/2/2025 5:41;419;932;0;10
3/2/2025 5:41;419;931;0;10
3/2/2025 5:41;419;931;0;10
3/2/2025 5:41;419;930;0;10
3/2/2025 5:41;418;930;0;10
3/2/2025 5:41;418;930;0;10
3/2/2025 5:41;418;929;0;10
